sample_name,BioSample,Assay.Type,LibraryLayout,LibrarySource,LibrarySelection,Instrument,sex,age,medium,Strain,Tissue,Experiment,Run
DGRP_Line_406_Female_SAMN09738132,SAMN09738132,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_406,Whole flies,SRX4483878,SRR7619580
DGRP_Line_406_Male_SAMN09738130,SAMN09738130,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_406,Whole flies,SRX4483880,SRR7619582
DGRP_Line_409_Female_SAMN09738128,SAMN09738128,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_409,Whole flies,SRX4483882,SRR7619584
DGRP_Line_409_Male_SAMN09738125,SAMN09738125,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_409,Whole flies,SRX4483885,SRR7619588
DGRP_Line_41_Female_SAMN09738124,SAMN09738124,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_41,Whole flies,SRX4483886,SRR7619589
DGRP_Line_41_Male_SAMN09738122,SAMN09738122,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_41,Whole flies,SRX4483888,SRR7619591
DGRP_Line_42_Male_SAMN09738190,SAMN09738190,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_42,Whole flies,SRX4483893,SRR7619597
DGRP_Line_426_Female_SAMN09738189,SAMN09738189,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_426,Whole flies,SRX4483894,SRR7619598
DGRP_Line_427_Female_SAMN09738749,SAMN09738749,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_427,Whole flies,SRX4483899,SRR7619604
DGRP_Line_427_Male_SAMN09738747,SAMN09738747,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_427,Whole flies,SRX4483901,SRR7619606
DGRP_Line_437_Female_SAMN09738745,SAMN09738745,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_437,Whole flies,SRX4483903,SRR7619608
DGRP_Line_439_Female_SAMN09738742,SAMN09738742,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_439,Whole flies,SRX4483906,SRR7619611
DGRP_Line_439_Female_SAMN09738742,SAMN09738742,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_439,Whole flies,SRX4483906,SRR7619612
DGRP_Line_439_Male_SAMN09738739,SAMN09738739,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_439,Whole flies,SRX4483909,SRR7619615
DGRP_Line_440_Male_SAMN09738735,SAMN09738735,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_440,Whole flies,SRX4483913,SRR7619619
DGRP_Line_441_Female_SAMN09738734,SAMN09738734,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_441,Whole flies,SRX4483914,SRR7619620
DGRP_Line_441_Female_SAMN09738733,SAMN09738733,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_441,Whole flies,SRX4483915,SRR7619622
DGRP_Line_443_Female_SAMN09738766,SAMN09738766,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_443,Whole flies,SRX4483918,SRR7619625
DGRP_Line_443_Female_SAMN09738765,SAMN09738765,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_443,Whole flies,SRX4483919,SRR7619626
DGRP_Line_443_Male_SAMN09738763,SAMN09738763,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_443,Whole flies,SRX4483921,SRR7619629
DGRP_Line_45_Female_SAMN09738761,SAMN09738761,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_45,Whole flies,SRX4483923,SRR7619632
DGRP_Line_45_Male_SAMN09738759,SAMN09738759,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_45,Whole flies,SRX4483925,SRR7619634
DGRP_Line_491_Female_SAMN09738105,SAMN09738105,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_491,Whole flies,SRX4483942,SRR7619655
DGRP_Line_491_Male_SAMN09738103,SAMN09738103,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_491,Whole flies,SRX4483944,SRR7619659
DGRP_Line_491_Male_SAMN09738102,SAMN09738102,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_491,Whole flies,SRX4483945,SRR7619660
DGRP_Line_492_Female_SAMN09738100,SAMN09738100,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_492,Whole flies,SRX4483947,SRR7619663
DGRP_Line_492_Male_SAMN09738099,SAMN09738099,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_492,Whole flies,SRX4483948,SRR7619665
DGRP_Line_492_Male_SAMN09738098,SAMN09738098,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_492,Whole flies,SRX4483949,SRR7619667
DGRP_Line_502_Female_SAMN09738807,SAMN09738807,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_502,Whole flies,SRX4483950,SRR7619669
DGRP_Line_502_Female_SAMN09738806,SAMN09738806,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_502,Whole flies,SRX4483951,SRR7619670
DGRP_Line_508_Female_SAMN09738798,SAMN09738798,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_508,Whole flies,SRX4483959,SRR7619680
DGRP_Line_508_Male_SAMN09738796,SAMN09738796,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_508,Whole flies,SRX4483961,SRR7619682
DGRP_Line_509_Female_SAMN09738794,SAMN09738794,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_509,Whole flies,SRX4483963,SRR7619684
DGRP_Line_509_Male_SAMN09738792,SAMN09738792,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_509,Whole flies,SRX4483965,SRR7619686
DGRP_Line_513_Male_SAMN09738833,SAMN09738833,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_513,Whole flies,SRX4483968,SRR7619689
DGRP_Line_513_Male_SAMN09738833,SAMN09738833,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_513,Whole flies,SRX4483968,SRR7619690
DGRP_Line_517_Male_SAMN09738829,SAMN09738829,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_517,Whole flies,SRX4483972,SRR7619695
DGRP_Line_531_Male_SAMN09738816,SAMN09738816,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_531,Whole flies,SRX4483985,SRR7619714
DGRP_Line_535_Male_SAMN09738863,SAMN09738863,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_535,Whole flies,SRX4483988,SRR7619718
DGRP_Line_555_Male_SAMN09738855,SAMN09738855,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_555,Whole flies,SRX4483996,SRR7619726
DGRP_Line_563_Female_SAMN09738849,SAMN09738849,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_563,Whole flies,SRX4484002,SRR7619732
DGRP_Line_57_Male_SAMN09738838,SAMN09738838,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_57,Whole flies,SRX4484013,SRR7619744
DGRP_Line_589_Female_SAMN09738912,SAMN09738912,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_589,Whole flies,SRX4484018,SRR7619751
DGRP_Line_59_Female_SAMN09738908,SAMN09738908,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_59,Whole flies,SRX4484022,SRR7619756
DGRP_Line_59_Male_SAMN09738905,SAMN09738905,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_59,Whole flies,SRX4484025,SRR7619759
DGRP_Line_595_Female_SAMN09738904,SAMN09738904,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_595,Whole flies,SRX4484026,SRR7619760
DGRP_Line_596_Female_SAMN09738900,SAMN09738900,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_596,Whole flies,SRX4484030,SRR7619765
DGRP_Line_596_Male_SAMN09738898,SAMN09738898,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_596,Whole flies,SRX4484032,SRR7619767
DGRP_Line_639_Female_SAMN09738935,SAMN09738935,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_639,Whole flies,SRX4484046,SRR7619785
DGRP_Line_639_Male_SAMN09738889,SAMN09738889,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_639,Whole flies,SRX4484049,SRR7619790
DGRP_Line_642_Female_SAMN09738888,SAMN09738888,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_642,Whole flies,SRX4484050,SRR7619792
DGRP_Line_642_Female_SAMN09738887,SAMN09738887,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_642,Whole flies,SRX4484051,SRR7619794
DGRP_Line_642_Female_SAMN09738887,SAMN09738887,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_642,Whole flies,SRX4484051,SRR7619795
DGRP_Line_642_Male_SAMN09738886,SAMN09738886,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_642,Whole flies,SRX4484052,SRR7619796
DGRP_Line_642_Male_SAMN09738886,SAMN09738886,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_642,Whole flies,SRX4484052,SRR7619797
DGRP_Line_69_Female_SAMN09738883,SAMN09738883,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_69,Whole flies,SRX4484055,SRR7619800
DGRP_Line_703_Male_SAMN09738877,SAMN09738877,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_703,Whole flies,SRX4484061,SRR7619806
DGRP_Line_705_Female_SAMN09738876,SAMN09738876,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_705,Whole flies,SRX4484062,SRR7619807
DGRP_Line_705_Female_SAMN09738875,SAMN09738875,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_705,Whole flies,SRX4484063,SRR7619808
DGRP_Line_705_Male_SAMN09738874,SAMN09738874,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_705,Whole flies,SRX4484064,SRR7619809
DGRP_Line_705_Male_SAMN09738873,SAMN09738873,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_705,Whole flies,SRX4484065,SRR7619810
DGRP_Line_707_Female_SAMN09738872,SAMN09738872,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_707,Whole flies,SRX4484066,SRR7619812
DGRP_Line_707_Male_SAMN09738870,SAMN09738870,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_707,Whole flies,SRX4484068,SRR7619814
DGRP_Line_707_Male_SAMN09738869,SAMN09738869,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_707,Whole flies,SRX4484069,SRR7619815
DGRP_Line_712_Female_SAMN09738868,SAMN09738868,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_712,Whole flies,SRX4484070,SRR7619816
DGRP_Line_714_Female_SAMN09738916,SAMN09738916,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_714,Whole flies,SRX4484074,SRR7619820
DGRP_Line_714_Female_SAMN09738915,SAMN09738915,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_714,Whole flies,SRX4484075,SRR7619821
DGRP_Line_714_Male_SAMN09738914,SAMN09738914,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_714,Whole flies,SRX4484076,SRR7619822
DGRP_Line_716_Female_SAMN09738933,SAMN09738933,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_716,Whole flies,SRX4484078,SRR7619825
DGRP_Line_716_Female_SAMN09738932,SAMN09738932,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_716,Whole flies,SRX4484079,SRR7619826
DGRP_Line_716_Male_SAMN09738931,SAMN09738931,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_716,Whole flies,SRX4484080,SRR7619827
DGRP_Line_716_Male_SAMN09738931,SAMN09738931,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_716,Whole flies,SRX4484080,SRR7619828
DGRP_Line_716_Male_SAMN09738930,SAMN09738930,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_716,Whole flies,SRX4484081,SRR7619829
DGRP_Line_721_Female_SAMN09738924,SAMN09738924,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_721,Whole flies,SRX4484083,SRR7619831
DGRP_Line_73_Female_SAMN09738921,SAMN09738921,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_73,Whole flies,SRX4484090,SRR7619838
DGRP_Line_730_Female_SAMN09738969,SAMN09738969,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_730,Whole flies,SRX4484095,SRR7619844
DGRP_Line_730_Male_SAMN09738967,SAMN09738967,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_730,Whole flies,SRX4484097,SRR7619846
DGRP_Line_732_Male_SAMN09738963,SAMN09738963,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_732,Whole flies,SRX4484101,SRR7619851
DGRP_Line_732_Male_SAMN09738963,SAMN09738963,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_732,Whole flies,SRX4484101,SRR7619852
DGRP_Line_737_Female_SAMN09738961,SAMN09738961,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_737,Whole flies,SRX4484103,SRR7619854
DGRP_Line_738_Female_SAMN09739055,SAMN09739055,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_738,Whole flies,SRX4484107,SRR7619858
DGRP_Line_738_Male_SAMN09739054,SAMN09739054,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_738,Whole flies,SRX4484108,SRR7619860
DGRP_Line_748_Female_SAMN09739052,SAMN09739052,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_748,Whole flies,SRX4484110,SRR7619862
DGRP_Line_748_Male_SAMN09739049,SAMN09739049,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_748,Whole flies,SRX4484113,SRR7619866
DGRP_Line_75_Male_SAMN09739046,SAMN09739046,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_75,Whole flies,SRX4484116,SRR7619869
DGRP_Line_75_Male_SAMN09739045,SAMN09739045,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_75,Whole flies,SRX4484117,SRR7619871
DGRP_Line_757_Female_SAMN09739044,SAMN09739044,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_757,Whole flies,SRX4484118,SRR7619873
DGRP_Line_757_Female_SAMN09739043,SAMN09739043,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_757,Whole flies,SRX4484119,SRR7619874
DGRP_Line_757_Male_SAMN09739041,SAMN09739041,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_757,Whole flies,SRX4484121,SRR7619877
DGRP_Line_761_Male_SAMN09739038,SAMN09739038,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_761,Whole flies,SRX4484124,SRR7619880
DGRP_Line_761_Male_SAMN09739037,SAMN09739037,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_761,Whole flies,SRX4484125,SRR7619881
DGRP_Line_765_Female_SAMN09739036,SAMN09739036,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_765,Whole flies,SRX4484126,SRR7619882
DGRP_Line_765_Male_SAMN09739097,SAMN09739097,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_765,Whole flies,SRX4484128,SRR7619885
DGRP_Line_774_Female_SAMN09739095,SAMN09739095,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_774,Whole flies,SRX4484130,SRR7619888
DGRP_Line_774_Male_SAMN09739092,SAMN09739092,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_774,Whole flies,SRX4484133,SRR7619892
DGRP_Line_776_Male_SAMN09739089,SAMN09739089,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_776,Whole flies,SRX4484136,SRR7619895
DGRP_Line_783_Male_SAMN09739085,SAMN09739085,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_783,Whole flies,SRX4484140,SRR7619900
DGRP_Line_787_Male_SAMN09739076,SAMN09739076,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_787,Whole flies,SRX4484149,SRR7619909
DGRP_Line_790_Female_SAMN09739074,SAMN09739074,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_790,Whole flies,SRX4484151,SRR7619911
DGRP_Line_790_Male_SAMN09739073,SAMN09739073,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_790,Whole flies,SRX4484152,SRR7619913
DGRP_Line_790_Male_SAMN09739072,SAMN09739072,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_790,Whole flies,SRX4484153,SRR7619914
DGRP_Line_796_Male_SAMN09739127,SAMN09739127,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_796,Whole flies,SRX4484157,SRR7619918
DGRP_Line_799_Female_SAMN09739125,SAMN09739125,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_799,Whole flies,SRX4484159,SRR7619921
DGRP_Line_801_Female_SAMN09739121,SAMN09739121,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_801,Whole flies,SRX4484163,SRR7619925
DGRP_Line_801_Male_SAMN09739119,SAMN09739119,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_801,Whole flies,SRX4484165,SRR7619927
DGRP_Line_802_Female_SAMN09739118,SAMN09739118,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_802,Whole flies,SRX4484166,SRR7619928
DGRP_Line_802_Female_SAMN09739018,SAMN09739018,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_802,Whole flies,SRX4484167,SRR7619929
DGRP_Line_802_Male_SAMN09739015,SAMN09739015,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_802,Whole flies,SRX4484169,SRR7619931
DGRP_Line_804_Female_SAMN09739014,SAMN09739014,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_804,Whole flies,SRX4484170,SRR7619932
DGRP_Line_804_Male_SAMN09739012,SAMN09739012,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_804,Whole flies,SRX4484172,SRR7619934
DGRP_Line_804_Male_SAMN09739011,SAMN09739011,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_804,Whole flies,SRX4484173,SRR7619935
DGRP_Line_805_Male_SAMN09739009,SAMN09739009,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_805,Whole flies,SRX4484176,SRR7619938
